term,estimate,std.error,conf.low,conf.high,species
(Intercept),3.5227946402065666,0.04004684745481168,3.444304261500766,3.601285018912367,Aphia minuta
temp_sc,-0.046988488766222934,0.01153714096319372,-0.06960086953864437,-0.024376107993801497,Aphia minuta
chl_sc,0.012682890649476024,0.011039624756467852,-0.008954376276037724,0.03432015757498977,Aphia minuta
year_f1994,-0.11465832856404742,0.055219651661749504,-0.22288685705992378,-0.006429800068171079,Aphia minuta
year_f1995,0.05642660407683423,0.0633315857594222,-0.06770102309544301,0.1805542312491115,Aphia minuta
year_f1996,-0.024689274633955136,0.07554985846800806,-0.17276427626834934,0.12338572700043905,Aphia minuta
year_f1997,-0.05125578225571142,0.06371270054588979,-0.1761303806834408,0.07361881617201799,Aphia minuta
year_f1998,0.04803888501903342,0.05015175530530685,-0.05025674914083357,0.1463345191789004,Aphia minuta
year_f1999,-0.08215553622490067,0.04632758313818395,-0.1729559306665263,0.008644858216724949,Aphia minuta
year_f2000,0.03479715028244602,0.048534095849567346,-0.06032792960492087,0.1299222301698129,Aphia minuta
year_f2001,-0.015483113237116763,0.04976530342533448,-0.11302131563048011,0.08205508915624658,Aphia minuta
year_f2002,0.09973640730939097,0.05110847565788801,-4.34364284811542e-4,0.1999071789035935,Aphia minuta
year_f2003,-0.05420614943522176,0.05089123260811576,-0.15395113247597902,0.04553883360553551,Aphia minuta
year_f2004,0.12075832155715903,0.04914615147321322,0.02443363469091102,0.21708300842340705,Aphia minuta
year_f2005,-0.03282194241187045,0.045737472491439946,-0.12246574123898418,0.05682185641524329,Aphia minuta
year_f2006,-0.15117902068863076,0.047080496346961626,-0.24345509790294512,-0.05890294347431642,Aphia minuta
year_f2007,0.021370749739927718,0.04564392622206663,-0.06808970176832624,0.11083120124818166,Aphia minuta
year_f2008,0.1029811071004358,0.04982591064856795,0.005324116732331879,0.20063809746853972,Aphia minuta
year_f2009,-0.009253685471963749,0.05040078786820569,-0.10803741448609017,0.08953004354216268,Aphia minuta
year_f2010,-0.06707703286428425,0.05234605261233243,-0.1696734107172946,0.03551934498872611,Aphia minuta
year_f2012,-0.02842277429064339,0.05501761065917017,-0.13625530969806388,0.07940976111677711,Aphia minuta
year_f2013,-0.06861274620243518,0.050359318409159,-0.16731519657037172,0.030089704165501358,Aphia minuta
year_f2014,-0.05841903153641738,0.05653888692036201,-0.1692332136263096,0.052395150553474865,Aphia minuta
year_f2015,-0.06217208509713288,0.050367915054846654,-0.16089138458100508,0.03654721438673932,Aphia minuta
year_f2016,-0.055002581138699665,0.05127487056271687,-0.15549948075357772,0.0454943184761784,Aphia minuta
year_f2017,-0.07817214313322328,0.05970735627341683,-0.19519641104122187,0.03885212477477533,Aphia minuta
year_f2018,-0.11501720058145973,0.051512037890054284,-0.21597893961622874,-0.014055461546690712,Aphia minuta
year_f2019,-0.02609574807255011,0.05860113290390897,-0.14095185801745677,0.08876036187235656,Aphia minuta
year_f2020,-0.11423489374889234,0.055164510810686386,-0.2223553481626081,-0.006114439335176594,Aphia minuta
year_f2021,-0.11894617441716814,0.05366654999705332,-0.22413067958591076,-0.013761669248425507,Aphia minuta
year_f2022,-0.03116863433108163,0.06164974967528585,-0.15199992335055176,0.0896626546883885,Aphia minuta
year_f2023,-0.009684541335264986,0.05509022211871042,-0.11765939258824926,0.09829030991771928,Aphia minuta
year_f2024,-0.012137674861517844,0.053710902357308465,-0.11740910905898991,0.09313375933595422,Aphia minuta
yday_ct,0.0016510057790874613,0.0011443103582599143,-5.918013102380964e-4,0.003893812868413019,Aphia minuta
(Intercept),3.3110557138495946,0.02205716183248823,3.267824471056746,3.354286956642443,Clupea harengus
temp_sc,-0.01702638222089071,0.007409432390304939,-0.03154860285177291,-0.0025041615900085103,Clupea harengus
chl_sc,0.03666796326334761,0.0071427191293655205,0.022668491018105905,0.05066743550858932,Clupea harengus
year_f1994,-0.03319656279277346,0.02752914160124421,-0.08715268885651542,0.0207595632709685,Clupea harengus
year_f1995,-0.037783714446637105,0.0273883374621091,-0.09146386946880009,0.015896440575525868,Clupea harengus
year_f1996,0.017773232191086338,0.047738485022757154,-0.07579247913002245,0.11133894351219513,Clupea harengus
year_f1997,0.032471866370937956,0.03249246813658725,-0.03121220094558832,0.09615593368746422,Clupea harengus
year_f1998,0.03986776260275304,0.031150425092075957,-0.02118594868082862,0.10092147388633471,Clupea harengus
year_f1999,0.06406229910141698,0.02769602375625887,0.009779090024183854,0.1183455081786501,Clupea harengus
year_f2000,0.028078975319274165,0.029291753459317824,-0.029331806505015292,0.08548975714356362,Clupea harengus
year_f2001,0.17213072908351587,0.031120894869755278,0.1111348959721382,0.23312656219489353,Clupea harengus
year_f2002,0.06712794947221948,0.028916287647466857,0.010453067116584003,0.12380283182785495,Clupea harengus
year_f2003,-0.021271408246192593,0.043801432798652236,-0.10712063900280241,0.06457782251041724,Clupea harengus
year_f2004,0.11576524273318974,0.030319793315407687,0.0563395398162924,0.17519094565008708,Clupea harengus
year_f2005,0.005899158102004532,0.030519534118855628,-0.05391802959589386,0.06571634579990293,Clupea harengus
year_f2006,0.04920594965636334,0.03243559410903082,-0.01436664661449659,0.11277854592722326,Clupea harengus
year_f2007,-0.017470710432395935,0.029285278637980514,-0.07486880184005794,0.03992738097526606,Clupea harengus
year_f2008,0.007305048552872023,0.03311881163859284,-0.05760662946953592,0.07221672657527996,Clupea harengus
year_f2009,0.011340400042430214,0.03062474739969036,-0.048683001896599555,0.07136380198145999,Clupea harengus
year_f2012,-0.16376477058244415,0.0336806928820932,-0.22977771560570137,-0.09775182555918693,Clupea harengus
year_f2013,0.1057839590743771,0.036143695538818646,0.03494361755011155,0.17662430059864265,Clupea harengus
year_f2014,-0.029961840732660252,0.03632732675920702,-0.10116209283532415,0.04123841137000364,Clupea harengus
year_f2015,-0.11564878158424814,0.0318254584052243,-0.1780255338499653,-0.053272029318530985,Clupea harengus
year_f2016,0.08629890529604771,0.038194166635365255,0.011439714271210447,0.16115809632088496,Clupea harengus
year_f2017,-0.07520312156901655,0.03139791589351956,-0.13674190590993263,-0.013664337228100475,Clupea harengus
year_f2018,-0.03058515786217534,0.03554263957166084,-0.10024745133811869,0.039077135613768015,Clupea harengus
year_f2019,-0.16393199053533997,0.029221190883880376,-0.22120447225311562,-0.1066595088175643,Clupea harengus
year_f2020,-0.09465169391564321,0.02959555075630087,-0.15265790750062005,-0.036645480330666357,Clupea harengus
year_f2021,-0.06083947225876028,0.03940075559757645,-0.13806353419367504,0.01638458967615447,Clupea harengus
year_f2022,-0.1140422250669021,0.03128591311592817,-0.17536148799757062,-0.052722962136233606,Clupea harengus
year_f2023,-0.1689694585039494,0.034204239066187525,-0.23600853519227488,-0.10193038181562393,Clupea harengus
year_f2024,-0.10377842016896596,0.030928622334205257,-0.1643974060354494,-0.043159434302482536,Clupea harengus
yday_ct,0.003004545836277745,6.918721558907711e-4,0.0016485013288257521,0.0043605903437297375,Clupea harengus
(Intercept),3.0821707982747313,0.030791339109030792,3.0218208825852715,3.142520713964191,Crystallogobius linearis
temp_sc,-0.06817193001108819,0.009017749032603968,-0.08584639333661288,-0.0504974666855635,Crystallogobius linearis
chl_sc,-0.0010441343099663828,0.008166765418636916,-0.017050700400681913,0.014962431780749146,Crystallogobius linearis
year_f1994,0.030838876678978458,0.03767846208057925,-0.04300955199181496,0.10468730534977187,Crystallogobius linearis
year_f1995,0.1437391538241517,0.04003846486612067,0.06526520469028288,0.22221310295802052,Crystallogobius linearis
year_f1996,0.14939096143365693,0.04302921023531148,0.06505525908924419,0.23372666377806967,Crystallogobius linearis
year_f1997,0.17171414145625272,0.043226875936708396,0.08699102145612317,0.25643726145638224,Crystallogobius linearis
year_f1998,0.1136684351512608,0.03693180656393052,0.041283424401957036,0.18605344590056455,Crystallogobius linearis
year_f1999,0.02394103623565447,0.036390333083654865,-0.04738270599372546,0.0952647784650344,Crystallogobius linearis
year_f2000,0.10064914073330897,0.03899202276668244,0.024226180426245567,0.17707210104037235,Crystallogobius linearis
year_f2001,0.009258769693615361,0.03947757474926403,-0.06811585501192997,0.086633394399160693,Crystallogobius linearis
year_f2002,0.11433540323714311,0.04018975731891539,0.03556492634466393,0.1931058801296223,Crystallogobius linearis
year_f2003,0.059698496924602315,0.03971414096921043,-0.018139789051996744,0.13753678290120136,Crystallogobius linearis
year_f2004,0.07655317339649005,0.03632639346896552,0.0053547505090866115,0.1477515962838935,Crystallogobius linearis
year_f2005,0.06924054018871183,0.03629483377205737,-0.0018960268293886362,0.1403771072068123,Crystallogobius linearis
year_f2006,0.08865857510001444,0.03613727902746531,0.017830809706907827,0.15948634049312105,Crystallogobius linearis
year_f2007,0.018602725829433085,0.03699197381559064,-0.05390021056617327,0.09110566222503944,Crystallogobius linearis
year_f2008,0.08857181845871823,0.03910360808634922,0.01193015494390455,0.16521348197353192,Crystallogobius linearis
year_f2009,0.07542922691212837,0.03959534482458337,-0.0021762228994994387,0.1530346767237562,Crystallogobius linearis
year_f2010,0.05315985267934777,0.04515643804113332,-0.03534513955138794,0.1416648449100835,Crystallogobius linearis
year_f2012,0.013254912366992628,0.04355227934290029,-0.0721059865897197,0.09861581132370495,Crystallogobius linearis
year_f2013,-0.005254779763950227,0.04047477589667995,-0.08458388280377278,0.07407432327587234,Crystallogobius linearis
year_f2014,0.09158407919892876,0.045011063289559644,0.003364016245538906,0.1798041421523186,Crystallogobius linearis
year_f2015,-0.06218537509931389,0.04059085260795402,-0.14174198431267748,0.017371234114049686,Crystallogobius linearis
